_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bde0705,INJ_209,06/25/2022,-1
6638d02b36388c250bde0706,INJ_209,06/27/2022,1
6638d02b36388c250bde0707,INJ_209,06/28/2022,0
6638d02b36388c250bde0708,INJ_209,06/30/2022,11
6638d02b36388c250bde0709,INJ_209,07/01/2022,26
6638d02b36388c250bde070a,INJ_209,07/02/2022,35
6638d02b36388c250bde070b,INJ_209,07/04/2022,0
6638d02b36388c250bde070c,INJ_209,07/05/2022,0
6638d02b36388c250bde070d,INJ_209,07/06/2022,20
6638d02b36388c250bde070e,INJ_209,07/07/2022,0
6638d02b36388c250bde070f,INJ_209,07/08/2022,1
6638d02b36388c250bde0710,INJ_209,07/14/2022,0
6638d02b36388c250bde0711,INJ_209,07/16/2022,0
6638d02b36388c250bde0712,INJ_209,07/18/2022,1
6638d02b36388c250bde0713,INJ_209,07/20/2022,0
6638d02b36388c250bde0714,INJ_209,07/21/2022,0
6638d02b36388c250bde0715,INJ_209,07/22/2022,0
6638d02b36388c250bde0716,INJ_209,07/23/2022,-1
6638d02b36388c250bde0717,INJ_209,07/25/2022,-1
6638d02b36388c250bde0718,INJ_209,07/27/2022,2
6638d02b36388c250bde0719,INJ_209,07/31/2022,1
6638d02b36388c250bde071a,INJ_209,08/03/2022,-1
6638d02b36388c250bde071b,INJ_209,08/04/2022,0
6638d02b36388c250bde071c,INJ_209,08/05/2022,0
6638d02b36388c250bde071d,INJ_209,08/09/2022,1
6638d02b36388c250bde071e,INJ_209,08/12/2022,2
6638d02b36388c250bde071f,INJ_209,08/15/2022,-1
6638d02b36388c250bde0720,INJ_209,08/16/2022,0
6638d02b36388c250bde0721,INJ_209,08/17/2022,1
6638d02b36388c250bde0722,INJ_209,08/18/2022,0
6638d02b36388c250bde0723,INJ_209,08/20/2022,0
6638d02b36388c250bde0724,INJ_209,08/22/2022,2
6638d02b36388c250bde0725,INJ_209,08/23/2022,0
6638d02b36388c250bde0726,INJ_209,08/24/2022,15
6638d02b36388c250bde0727,INJ_209,08/25/2022,1
6638d02b36388c250bde0728,INJ_209,08/27/2022,0
6638d02b36388c250bde0729,INJ_209,08/29/2022,1
6638d02b36388c250bde072a,INJ_209,09/01/2022,0
6638d02b36388c250bde072b,INJ_209,09/02/2022,0
6638d02b36388c250bde072c,INJ_209,09/03/2022,1
6638d02b36388c250bde072d,INJ_209,09/08/2022,0
6638d02b36388c250bde072e,INJ_209,09/09/2022,0
6638d02b36388c250bde072f,INJ_209,09/14/2022,6
6638d02b36388c250bde0730,INJ_209,09/15/2022,7
6638d02b36388c250bde0731,INJ_209,09/16/2022,1
6638d02b36388c250bde0732,INJ_209,09/17/2022,-1
6638d02b36388c250bde0733,INJ_209,09/19/2022,9
6638d02b36388c250bde0734,INJ_209,09/27/2022,17
6638d02b36388c250bde0735,INJ_209,10/01/2022,1
6638d02b36388c250bde0736,INJ_209,10/04/2022,-2
6638d02b36388c250bde0737,INJ_209,10/05/2022,0
6638d02b36388c250bde0738,INJ_209,10/07/2022,244
6638d02b36388c250bde0739,INJ_209,10/10/2022,5
6638d02b36388c250bde073a,INJ_209,10/11/2022,2
6638d02b36388c250bde073b,INJ_209,10/12/2022,1
6638d02b36388c250bde073c,INJ_209,10/13/2022,1
6638d02b36388c250bde073d,INJ_209,10/15/2022,1
6638d02b36388c250bde073e,INJ_209,10/17/2022,71
6638d02b36388c250bde073f,INJ_209,10/18/2022,-1
6638d02b36388c250bde0740,INJ_209,10/24/2022,18
6638d02b36388c250bde0741,INJ_209,10/27/2022,7
6638d02b36388c250bde0742,INJ_209,10/28/2022,0
6638d02b36388c250bde0743,INJ_209,10/29/2022,0
6638d02b36388c250bde0744,INJ_209,10/31/2022,1
6638d02b36388c250bde0745,INJ_209,11/04/2022,-1
6638d02b36388c250bde0746,INJ_209,11/07/2022,0
6638d02b36388c250bde0747,INJ_209,11/09/2022,1
6638d02b36388c250bde0748,INJ_209,11/10/2022,1
6638d02b36388c250bde0749,INJ_209,11/11/2022,0
6638d02b36388c250bde074a,INJ_209,11/14/2022,0
6638d02b36388c250bde074b,INJ_209,11/17/2022,0
6638d02b36388c250bde074c,INJ_209,11/18/2022,0
6638d02b36388c250bde074d,INJ_209,11/22/2022,1
6638d02b36388c250bde074e,INJ_209,11/23/2022,1
6638d02b36388c250bde074f,INJ_209,11/28/2022,1
6638d02b36388c250bde0750,INJ_209,11/30/2022,0
6638d02b36388c250bde0751,INJ_209,12/02/2022,2
6638d02b36388c250bde0752,INJ_209,12/03/2022,0
6638d02b36388c250bde0753,INJ_209,12/05/2022,0
6638d02b36388c250bde0754,INJ_209,12/06/2022,2
6638d02b36388c250bde0755,INJ_209,12/09/2022,-1
6638d02b36388c250bde0756,INJ_209,12/12/2022,0
6638d02b36388c250bde0757,INJ_209,12/15/2022,1
6638d02b36388c250bde0758,INJ_209,12/19/2022,1
6638d02b36388c250bde0759,INJ_209,12/21/2022,0
6638d02b36388c250bde075a,INJ_209,12/23/2022,0
6638d02b36388c250bde075b,INJ_209,12/24/2022,0
6638d02b36388c250bde075c,INJ_209,12/26/2022,1
6638d02b36388c250bde075d,INJ_209,12/27/2022,1
6638d02b36388c250bde075e,INJ_209,12/29/2022,1
6638d02b36388c250bde075f,INJ_209,12/30/2022,1
6638d02b36388c250bde0760,INJ_209,01/03/2023,0
6638d02b36388c250bde0761,INJ_209,01/11/2023,-1
6638d02b36388c250bde0762,INJ_209,01/20/2023,2
6638d02b36388c250bde0763,INJ_209,03/08/2023,0
6638d02b36388c250bde0764,INJ_209,03/13/2023,1
6638d02b36388c250bde0765,INJ_209,03/14/2023,0
6638d02b36388c250bde0766,INJ_301,09/27/2021,1
